dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-8B (reproduced, ndcg_linear@5)",diff (repro - paper 8B),eval_time_s
BRIGHT aops,2.4,1.1,2.2,1.2,5.0,5.3,3.3,1.1,0.0,730
BRIGHT biology,14.7,17.1,9.4,12.3,3.0,2.7,13.4,17.1,0.0,86
BRIGHT earth science,26.2,28.9,0.7,11.4,12.8,3.9,26.2,28.8,-0.1,219
BRIGHT economics,15.9,16.7,2.8,3.9,7.0,2.1,15.5,16.4,-0.3,156
BRIGHT leetcode,13.7,17.3,4.7,8.5,17.3,12.0,18.2,17.0,-0.3,1307
BRIGHT pony,2.5,9.1,9.5,1.5,2.1,0.5,2.1,9.4,0.3,14
BRIGHT psychology,18.6,12.0,3.0,4.4,11.0,2.8,18.2,23.2,11.2,153
BRIGHT robotics,11.3,12.5,1.5,4.8,5.7,0.7,12.5,11.8,-0.7,186
BRIGHT stackoverflow,14.5,12.0,0.0,2.1,6.1,0.9,9.3,11.7,-0.3,474
BRIGHT sustainable living,9.7,14.2,3.6,2.6,9.7,5.1,6.3,14.2,0.0,174
BRIGHT theoremqa questions,10.6,12.8,15.1,9.4,12.8,7.7,14.1,12.7,-0.1,731
BRIGHT theoremqa theorems,12.8,21.2,3.2,4.7,17.0,1.9,22.1,20.9,-0.3,110
FollowIR core17-instructions,34.5,34.3,21.0,21.3,34.8,20.7,28.4,44.6,10.3,60
FollowIR news21-instructions,21.8,20.4,9.7,4.6,13.3,11.1,18.6,28.9,8.5,100
FollowIR robust04-instructions,39.5,44.0,21.1,24.7,30.6,11.0,27.7,46.2,2.2,174
InfoSearch Audience-v1,31.3,34.5,25.0,17.2,61.8,31.9,27.5,34.2,-0.3,4
InfoSearch Clarity-v1,62.8,55.4,34.5,43.6,57.9,59.2,34.6,55.0,-0.4,2
InfoSearch Format-v1,38.2,46.2,10.2,20.4,47.5,7.2,52.5,46.1,-0.1,6
InfoSearch Language-v1,56.5,67.6,45.3,49.2,77.5,60.8,71.4,68.1,0.5,2
InfoSearch Length-v1,44.2,55.9,40.0,43.9,75.4,38.0,56.9,55.4,-0.5,5
InfoSearch Source-v1,36.8,44.5,46.1,37.6,72.5,42.1,47.8,44.9,0.4,5
LongEmbed 2wikimqa,83.8,89.0,6.0,13.7,14.7,1.9,70.4,88.9,-0.1,14
LongEmbed narrativeqa,52.9,60.9,1.3,3.6,6.8,1.2,31.0,61.0,0.1,40
LongEmbed needle,15.5,21.2,3.2,7.6,21.2,5.0,24.3,21.4,0.2,39
LongEmbed passkey,32.8,38.2,12.7,11.3,26.7,1.1,34.0,38.1,-0.1,37
LongEmbed qmsum,37.5,42.3,4.7,11.9,9.8,2.4,34.8,42.3,0.0,11
LongEmbed summ screen fd,95.9,96.3,7.5,20.9,27.4,3.8,90.7,96.6,0.3,15
MultiConIR Books,62.1,60.9,35.0,47.1,56.8,27.7,63.9,60.7,-0.2,16
MultiConIR Legal Document,57.2,57.7,38.0,52.4,56.7,8.8,68.4,58.5,0.8,18
MultiConIR Medical Case,60.0,61.4,35.8,43.9,52.8,17.5,65.7,61.1,-0.3,14
MultiConIR Movies,64.9,62.9,42.0,48.7,64.6,13.0,74.7,63.0,0.1,14
MultiConIR People,61.8,62.9,53.4,59.2,64.1,47.3,75.1,63.2,0.3,16
NanoBEIR NanoArguAna,49.4,45.0,32.4,36.1,54.3,21.6,42.6,45.1,0.1,9
NanoBEIR NanoClimateFEVER,29.5,33.5,14.2,14.4,31.9,3.4,23.6,34.3,0.8,12
NanoBEIR NanoDBPedia,60.6,61.1,51.7,48.4,60.5,23.6,54.2,61.6,0.5,8
NanoBEIR NanoFEVER,89.2,89.8,55.9,52.3,87.1,10.5,76.2,89.9,0.1,17
NanoBEIR NanoFiQA2018,43.7,53.2,20.1,21.0,58.8,4.8,53.6,53.7,0.5,14
NanoBEIR NanoHotpotQA,73.8,77.4,53.6,50.0,84.5,15.3,92.0,77.0,-0.4,8
NanoBEIR NanoMSMARCO,53.6,64.9,28.1,38.6,65.5,19.0,53.5,64.2,-0.7,6
NanoBEIR NanoNFCorpus,39.5,39.9,31.8,29.5,39.9,11.7,31.4,39.9,0.0,10
NanoBEIR NanoNQ,56.0,66.6,34.5,28.2,65.9,12.5,64.5,66.8,0.2,10
NanoBEIR NanoQuoraRetrieval,94.9,96.0,93.4,92.8,95.2,87.1,91.5,95.3,-0.7,6
NanoBEIR NanoSCIDOCS,35.7,37.5,30.1,24.3,44.1,12.2,32.7,37.0,-0.5,5
NanoBEIR NanoSciFact,77.5,78.5,61.7,58.4,73.4,14.4,74.5,79.6,1.1,10
