dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-8B (reproduced, hit@1)",diff (repro - paper 8B),eval_time_s
ActivityNetQA,72.9,80.3,51.4,53.0,66.0,71.3,58.0,80.0,-0.3,107
Breakfast,36.7,38.8,23.6,14.8,13.9,21.2,33.0,39.5,0.7,10
Charades-STA,31.5,26.4,18.6,20.1,13.9,27.8,12.0,26.5,0.1,808
DiDeMo,47.9,44.9,29.6,30.0,26.3,29.8,42.0,45.2,0.3,53
EgoSchema,62.6,64.8,22.2,35.0,46.4,47.8,54.2,65.2,0.4,25
HMDB51,68.8,75.5,41.9,40.2,48.0,54.2,52.3,75.3,-0.2,23
K700,55.2,51.7,35.4,38.2,39.6,54.2,42.7,51.9,0.2,95
MSR-VTT,48.3,50.1,34.7,27.8,31.8,37.3,40.8,50.6,0.5,21
MSVD,70.4,72.8,46.7,47.3,49.6,60.9,60.6,72.7,-0.1,41
MVBench,56.2,64.8,28.6,33.6,46.3,41.4,40.7,65.0,0.2,763
MomentSeeker,48.2,49.9,41.0,42.9,39.3,36.4,39.5,46.7,-3.2,906
NExTQA,65.4,72.4,20.3,20.9,53.5,36.8,45.1,72.5,0.1,411
QVHighlight,74.0,71.3,57.9,49.7,59.4,54.5,22.0,71.3,0.0,417
SmthSmthV2,66.0,73.3,32.0,43.0,30.5,49.8,46.1,73.5,0.2,63
UCF101,83.7,85.5,62.1,60.0,54.4,74.1,66.9,85.5,0.0,22
VATEX,42.5,45.4,25.4,26.2,24.7,34.2,32.4,45.0,-0.4,376
Video-MME,51.3,55.6,28.0,30.8,39.2,32.3,37.4,55.6,0.0,413
YouCook2,25.1,31.1,9.0,10.6,8.9,11.4,18.5,31.8,0.7,161
AVG (n=18),,,,,,,,58.5,-0.1,4715
PAPER category avg (Qwen3-VL-Embedding-8B),,,,,,,,58.6,,
