dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-8B (reproduced, hit@1)",diff (repro - paper 8B),eval_time_s
Tool-craft-math-algebra,84.6,83.9,57.1,65.0,84.6,17.5,85.0,85.4,1.5,13
Tool-craft-tabmwp,36.8,34.5,10.9,14.4,27.6,4.0,29.9,36.2,1.7,12
Tool-craft-vqa,52.0,54.5,23.0,43.5,60.5,12.5,64.5,54.0,-0.5,13
Tool-gorilla-huggingface,26.4,28.4,18.6,20.2,24.6,6.4,26.6,28.0,-0.4,13
Tool-gorilla-pytorch,11.6,9.3,0.0,4.7,14.0,2.3,11.6,9.3,0.0,12
Tool-gorilla-tensor,16.4,16.4,1.8,7.3,21.8,1.8,20.0,16.4,0.0,13
Tool-toolink,67.8,67.6,36.4,40.4,66.4,25.0,66.8,66.4,-1.2,13
Tool-appbench,71.9,84.4,65.6,65.6,81.2,71.9,87.5,84.4,0.0,6
Tool-gpt4tools,84.4,68.8,28.1,46.9,81.2,50.0,75.0,68.8,0.0,6
Tool-gta,14.3,21.4,14.3,0.0,35.7,0.0,42.9,21.4,0.0,6
Tool-metatool,52.5,51.5,32.0,44.0,54.0,26.5,50.0,52.0,0.5,7
Tool-taskbench-huggingface,60.9,39.1,4.3,56.5,56.5,8.7,52.2,43.5,4.4,6
Tool-taskbench-multimedia,70.0,62.5,32.5,65.0,87.5,42.5,77.5,60.0,-2.5,6
Tool-tool-be-honest,51.1,49.1,47.1,46.0,55.4,23.1,55.1,48.9,-0.2,7
Tool-toolalpaca,62.8,67.0,26.6,51.1,59.6,27.7,48.9,67.0,0.0,6
Tool-toolbench-sam,11.7,11.7,1.0,4.1,7.6,3.0,8.6,12.7,1.0,7
Tool-apibank,62.4,58.4,1.0,38.6,52.5,0.0,45.5,60.4,2.0,150
Tool-apigen,55.4,55.5,49.3,46.5,54.0,23.8,64.1,55.5,0.0,130
Tool-autotools-food,50.0,50.0,9.1,4.6,18.2,0.0,13.6,45.5,-4.5,114
Tool-autotools-music,12.5,37.5,0.0,0.0,0.0,0.0,6.2,40.6,3.1,114
Tool-autotools-weather,18.2,9.1,0.0,0.0,0.0,0.0,0.0,9.1,0.0,114
Tool-mnms,36.4,30.3,27.3,30.3,30.3,21.2,39.4,30.3,0.0,115
Tool-restgpt-spotify,60.0,67.5,27.5,12.5,20.0,0.0,25.0,65.0,-2.5,114
Tool-restgpt-tmdb,37.0,38.9,0.0,0.0,11.1,0.0,16.7,38.9,0.0,114
Tool-reversechain,61.0,57.5,22.5,51.5,54.5,0.5,50.0,58.5,1.0,116
Tool-rotbench,3.3,4.2,1.1,1.8,7.3,1.1,7.1,4.5,0.3,123
Tool-t-eval-dialog,24.0,20.0,26.0,22.0,34.0,0.0,16.0,22.0,2.0,114
Tool-t-eval-step,16.0,12.0,38.0,10.0,30.0,8.0,10.0,14.0,2.0,114
Tool-taskbench-daily,65.0,62.5,45.0,52.5,72.5,2.5,67.5,62.5,0.0,114
Tool-toolace,65.7,62.3,33.3,56.4,69.0,24.3,67.1,62.1,-0.2,130
Tool-toolbench,40.6,36.0,6.0,24.8,17.4,4.6,13.1,35.7,-0.3,132
Tool-toolemu,31.6,26.3,0.0,10.5,13.2,0.0,34.2,26.3,0.0,115
Tool-tooleyes,19.0,20.0,4.2,15.8,20.0,0.0,10.5,20.0,0.0,115
Tool-toollens,8.0,7.0,1.3,8.9,1.3,1.6,1.0,6.7,-0.3,118
Tool-ultratool,50.6,41.2,0.4,4.6,40.4,5.2,43.8,41.4,0.2,122
AVG (n=35),,,,,,,,41.5,0.2,2424
PAPER category avg (Qwen3-VL-Embedding-8B),,,,,,,,41.3,,
