dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-2B (reproduced, hit@1)",diff (repro - paper 2B),eval_time_s
A-OKVQA,58.8,66.6,47.5,44.0,20.8,24.8,12.2,59.1,0.3,15
CIRR,55.5,56.7,51.4,57.3,54.9,31.9,12.9,55.4,-0.1,164
ChartQA,61.4,70.4,56.6,48.1,17.7,13.3,13.5,61.2,-0.2,15
Country211,20.7,24.5,30.2,25.8,24.6,21.0,24.6,20.8,0.1,9
DocVQA,93.9,95.2,88.8,90.1,41.1,19.7,17.2,93.9,0.0,40
EDIS,87.3,88.9,85.9,84.2,96.1,54.9,80.4,87.2,-0.1,53
FashionIQ,35.3,31.8,16.8,19.6,37.6,7.2,8.6,35.8,0.5,72
GQA,85.9,88.6,54.4,65.4,76.8,50.6,28.2,86.3,0.4,22
HatefulMemes,59.7,68.4,70.3,55.8,53.9,51.1,48.5,59.4,-0.3,12
ImageNet-1K,71.2,75.3,80.2,80.8,64.7,43.8,61.6,71.4,0.2,38
ImageNet-A,59.9,61.6,57.6,47.6,40.6,25.2,41.8,60.3,0.4,16
ImageNet-R,91.1,92.0,74.2,89.3,83.9,69.1,82.6,91.1,0.0,12
InfographicsVQA,69.5,81.5,59.0,59.1,20.5,16.9,8.5,69.5,0.0,36
MCMR,42.0,38.0,0.9,4.1,27.3,8.9,47.0,21.6,-20.4,1335
MSCOCO,66.0,75.3,75.4,66.2,31.4,30.3,31.4,65.2,-0.8,79
MSCOCO i2t,71.2,73.7,73.6,71.1,57.4,55.8,58.3,71.5,0.3,21
MSCOCO t2i,75.4,74.0,77.5,75.9,71.5,64.0,59.8,74.8,-0.6,33
N24News,65.2,64.4,79.5,73.0,50.3,43.7,37.1,65.7,0.5,13
NIGHTS,67.5,68.2,67.5,68.4,67.6,58.8,63.5,67.5,0.0,35
OK-VQA,65.9,74.7,56.8,51.7,33.1,32.7,17.7,65.5,-0.4,17
OVEN,70.2,70.7,66.6,64.8,75.6,57.3,71.9,70.3,0.1,146
ObjectNet,78.7,78.2,40.5,65.1,69.0,69.1,46.6,78.8,0.1,26
Place365,37.8,37.6,37.2,36.1,39.1,34.0,31.6,37.5,-0.3,6
RefCOCO,89.0,93.8,87.1,87.0,61.2,57.4,55.3,88.8,-0.2,120
RefCOCO-Matching,93.1,93.7,84.4,86.3,78.7,83.4,65.5,93.0,-0.1,65
SUN397,67.9,64.7,77.3,70.9,69.4,64.1,55.6,67.9,0.0,19
ScienceQA,71.4,75.6,38.2,38.1,28.2,21.6,25.1,71.6,0.2,16
TextVQA,88.1,90.2,71.6,71.6,46.4,30.6,35.5,88.2,0.1,23
VOC2007,84.1,84.8,80.6,84.9,80.1,79.9,53.1,84.3,0.2,10
VisDial,74.8,66.8,81.6,82.7,60.9,21.8,51.5,75.0,0.2,44
Visual7W,62.8,65.9,52.7,52.8,22.2,19.2,7.3,62.3,-0.5,18
Visual7W-Pointing,83.5,87.8,80.7,69.0,66.5,53.4,41.9,84.0,0.5,46
VisualNews i2t,74.0,81.9,81.2,78.3,83.6,40.2,56.2,73.1,-0.9,40
VisualNews t2i,68.4,75.7,80.3,74.7,79.5,45.7,60.4,68.7,0.3,57
VizWiz,57.2,59.5,39.6,43.3,38.9,33.1,34.1,57.4,0.2,26
WebQA,88.7,89.3,88.3,90.6,91.3,49.7,90.9,88.8,0.1,49
Wiki-SS-NQ,78.9,80.3,62.1,67.6,78.4,50.5,87.6,78.8,-0.1,176
AVG (n=37),,,,,,,,69.0,-0.5,2924
PAPER category avg (Qwen3-VL-Embedding-2B),,,,,,,,69.5,,
