dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-2B (reproduced, ndcg_linear@5)",diff (repro - paper 2B),eval_time_s
MMLongBench-doc,44.5,45.0,24.0,42.9,54.3,23.4,35.5,53.1,8.6,132
MMLongBench-page,16.5,15.9,36.8,44.7,16.2,8.3,8.5,52.8,36.3,128
ViDoRe arxivqa,77.5,80.0,28.2,78.9,87.5,42.0,83.2,77.5,0.0,39
ViDoRe_biomedical_lectures_v2,,,,,,,,64.8,(no paper match),21
ViDoRe biomedical lectures v2 multilingual,63.5,61.2,5.2,44.6,49.8,27.2,51.4,63.6,0.1,21
ViDoRe docvqa,43.7,45.8,19.0,37.1,56.6,27.9,56.4,43.9,0.2,57
ViDoRe_economics_reports_v2,,,,,,,,62.6,(no paper match),12
ViDoRe economics reports v2 multilingual,57.7,50.4,13.8,42.3,53.9,32.0,44.2,58.2,0.5,11
ViDoRe esg reports human labeled v2,57.1,56.6,7.0,45.8,62.8,37.2,59.8,56.1,-1.0,116
ViDoRe_esg_reports_v2,,,,,,,,54.5,(no paper match),110
ViDoRe esg reports v2 multilingual,55.6,50.2,11.1,45.7,55.4,26.3,50.8,56.5,0.9,108
ViDoRe infovqa,85.2,85.5,44.8,82.7,92.2,64.2,88.4,85.4,0.2,25
ViDoRe shiftproject,79.4,81.0,1.6,61.0,95.6,43.1,79.8,79.5,0.1,45
ViDoRe syntheticDocQA artificial intelligence,95.8,96.4,18.2,89.1,99.6,55.6,95.9,95.4,-0.4,41
ViDoRe syntheticDocQA energy,88.2,89.2,23.9,86.3,95.7,67.2,93.0,88.9,0.7,40
ViDoRe syntheticDocQA government reports,93.8,93.5,13.9,85.6,99.5,62.9,94.0,94.3,0.5,40
ViDoRe syntheticDocQA healthcare industry,94.1,95.8,27.6,91.1,99.5,71.8,96.2,94.6,0.5,39
ViDoRe tabfquad,94.9,94.8,17.0,87.8,92.7,68.0,92.2,95.0,0.1,5
ViDoRe tatdqa,59.5,59.4,5.7,44.3,76.6,19.9,68.9,59.5,0.0,23
ViDoSeek-doc,84.5,84.6,54.2,80.3,83.9,48.0,70.1,84.5,0.0,66
ViDoSeek-page,22.1,21.9,77.4,80.3,23.2,13.6,21.0,78.0,55.9,133
VisRAG ArxivQA,79.6,78.7,52.9,76.7,87.7,31.6,83.3,79.2,-0.4,334
VisRAG ChartQA,79.2,86.4,69.0,84.2,81.3,56.7,89.2,80.6,1.4,26
VisRAG InfoVQA,90.3,90.3,71.3,85.9,93.5,71.4,93.0,90.5,0.2,37
VisRAG MP-DocVQA,77.5,80.2,52.7,71.8,89.1,41.9,86.3,77.8,0.3,56
VisRAG PlotQA,62.7,66.2,34.5,65.9,63.4,18.4,65.7,62.3,-0.4,669
VisRAG SlideVQA,91.8,92.3,72.8,91.4,94.7,68.0,93.6,91.4,-0.4,37
AVG (n=27),,,,,,,,73.4,2.8,2371
PAPER category avg (Qwen3-VL-Embedding-2B),,,,,,,,70.6,,
